Airplane_type_name,Airport_code
L76,ATL
L77,ATL
M99,ATL
MM2,ATL
A36,ATL
A38,ATL
L76,ORD
L77,ORD
M99,ORD
MM2,ORD
A36,ORD
L76,LAX
L77,LAX
M99,LAX
MM2,LAX
A36,LAX
A38,LAX
L76,DFW
L77,DFW
M99,DFW
MM2,DFW
A36,DFW
A38,DFW
L76,DEN
L77,DEN
M99,DEN
MM2,DEN
A36,DEN
L76,JFK
L77,JFK
M99,JFK
MM2,JFK
A36,JFK
A38,JFK
L76,SFO
L77,SFO
M99,SFO
MM2,SFO
A36,SFO
A38,SFO
L76,CLT
L77,CLT
M99,CLT
MM2,CLT
A36,CLT
L76,LAS
L77,LAS
M99,LAS
MM2,LAS
A36,LAS
L76,PHX
L77,PHX
M99,PHX
MM2,PHX
A36,PHX
L76,IAH
L77,IAH
M99,IAH
MM2,IAH
A36,IAH
L76,MIA
L77,MIA
M99,MIA
MM2,MIA
A36,MIA
A38,MIA
L76,MCO
L77,MCO
M99,MCO
MM2,MCO
A36,MCO
L76,EWR
L77,EWR
M99,EWR
MM2,EWR
A36,EWR
L76,SEA
L77,SEA
M99,SEA
MM2,SEA
A36,SEA
A38,SEA
L76,MSP
L77,MSP
M99,MSP
MM2,MSP
A36,MSP
L76,DTW
L77,DTW
M99,DTW
MM2,DTW
A36,DTW
L76,PHL
L77,PHL
M99,PHL
MM2,PHL
A36,PHL
L76,BOS
L77,BOS
M99,BOS
MM2,BOS
A36,BOS
A38,BOS
L76,LGA
L77,LGA
M99,LGA
MM2,LGA
A36,LGA
A38,LGA
L76,FLL
L77,FLL
M99,FLL
MM2,FLL
A36,FLL
L76,BWI
L77,BWI
M99,BWI
MM2,BWI
A36,BWI
A38,BWI
L76,IAD
L77,IAD
M99,IAD
MM2,IAD
A36,IAD
L76,SLC
L77,SLC
M99,SLC
MM2,SLC
A36,SLC
L76,DCA
L77,DCA
M99,DCA
MM2,DCA
A36,DCA
A38,DCA
L76,MDW
L77,MDW
M99,MDW
MM2,MDW
A36,MDW
L76,HNL
L77,HNL
M99,HNL
MM2,HNL
A36,HNL
A38,HNL
L76,SAN
L77,SAN
M99,SAN
MM2,SAN
A36,SAN
A38,SAN
L76,TPA
L77,TPA
M99,TPA
MM2,TPA
A36,TPA
L76,CLE
L77,CLE
M99,CLE
MM2,CLE
A36,CLE
L76,PDX
L77,PDX
M99,PDX
MM2,PDX
A36,PDX
L76,STL
L77,STL
M99,STL
MM2,STL
A36,STL
L76,HOU
L77,HOU
M99,HOU
MM2,HOU
A36,HOU
A38,HOU
L76,OAK
L77,OAK
M99,OAK
MM2,OAK
A36,OAK
L76,MCI
L77,MCI
M99,MCI
MM2,MCI
A36,MCI
L76,BNA
L77,BNA
M99,BNA
MM2,BNA
A36,BNA
L76,AUS
L77,AUS
M99,AUS
MM2,AUS
A36,AUS
A38,AUS
L76,RDU
L77,RDU
M99,RDU
MM2,RDU
A36,RDU
L76,SMF
L77,SMF
M99,SMF
MM2,SMF
A36,SMF
L76,SNA
L77,SNA
M99,SNA
MM2,SNA
A36,SNA
